GeoFips,GeoName,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2
41000,Oregon,232707.5,233415.9,235076.2,236033.7,236984.4,237776.0,240584.7,243834.2,242775.6,224739.2,239869.6,242312.6,247401.2,249411.6,248689.0,255801.3,256026.2,255208.4,255260.2,257756.2,260427.4,260404.3,263251.3,263723.2,262474.7,264620.3
42000,Pennsylvania,761188.8,762527.7,766232.2,765472.7,764379.1,769307.7,775429.1,778294.0,760830.2,685380.0,745697.4,753617.6,751541.5,761344.7,766417.8,782731.2,772234.6,776192.2,782516.2,786499.4,790274.2,794597.8,802771.3,809271.9,808315.4,814704.1
44000,Rhode Island,58782.4,58741.6,58497.5,58939.2,59828.0,59971.4,60092.5,60738.5,59985.9,54182.4,58985.7,59772.7,59130.3,61045.0,60688.7,62348.2,61412.8,62893.3,62516.5,62294.7,62671.4,62568.4,64015.0,63853.4,64616.2,65011.4
45000,South Carolina,229666.6,231434.2,232093.4,233458.9,235855.1,236732.2,240427.9,243070.1,235231.5,220172.8,239176.6,240019.7,241180.4,245245.9,246297.2,250285.0,251017.9,253218.3,255045.2,258736.5,259022.9,259658.9,263789.0,266723.2,269490.4,272448.7
46000,South Dakota,52849.6,51850.3,51701.1,51350.2,51482.2,51877.8,52929.0,53751.8,52963.4,49891.8,53694.3,54533.2,55155.8,55787.9,55589.7,55530.3,55627.2,55475.4,55225.1,54711.7,56730.4,56927.8,57562.1,57880.1,57306.7,57638.3
47000,Tennessee,361188.8,361610.5,364053.3,362602.2,366528.2,367562.3,372332.6,374366.6,377436.6,336736.0,374761.5,382520.2,394010.4,397484.1,400135.8,409344.0,411485.4,412175.2,414639.1,419583.6,419232.2,419470.0,423078.2,426570.4,426915.0,430106.7
48000,Texas,1724015.6,1743791.5,1754390.9,1763975.0,1772384.2,1790077.5,1826002.2,1838480.4,1807341.8,1680581.0,1791705.2,1815000.5,1844499.0,1871578.6,1886783.9,1913543.7,1920808.0,1922668.7,1956591.7,2010765.8,2047534.5,2079740.8,2116586.2,2144500.1,2145329.6,2160124.1
49000,Utah,178713.0,181298.6,183443.3,184969.1,190483.4,190145.5,194646.8,195766.6,193722.9,186181.2,197242.7,201854.1,206805.8,208838.8,210829.6,215313.5,215821.6,216357.7,217675.5,219915.2,221494.6,223849.3,227379.6,229114.2,231792.6,234520.9
50000,Vermont,32877.5,32945.0,32780.1,32708.5,33138.3,33068.9,33560.2,33590.3,33518.1,29868.9,32663.3,32960.3,33266.7,33542.0,33899.0,34179.9,34596.6,34730.2,34572.5,35111.2,34916.2,35137.4,35138.0,35754.6,35622.5,35917.1
51000,Virginia,524088.2,526945.6,530171.5,529864.8,533744.8,536849.0,545541.4,547976.6,542165.4,508768.1,540142.7,547053.0,556037.8,562266.8,567266.8,576310.9,574222.9,576245.9,583744.3,587687.8,589044.5,595450.7,598808.7,607084.6,608737.4,613508.0
53000,Washington,553093.9,558012.3,567403.8,568632.9,580940.3,584424.1,592072.8,597740.5,591465.5,558226.4,604374.4,602560.7,619306.8,631416.4,629270.3,640212.4,636863.1,637940.6,645757.4,655739.4,662281.0,671467.6,681835.4,693368.2,695924.3,699749.1
54000,West Virginia,76298.0,77372.7,78169.2,77786.3,76945.5,77062.2,77703.4,76937.7,76666.7,70392.6,75677.5,75478.3,75782.5,75212.7,75838.7,76226.6,76244.1,75726.0,77399.2,79382.6,79566.2,81192.2,80377.4,82056.7,82677.5,83118.0
55000,Wisconsin,328720.0,327274.9,329118.8,330215.8,330412.3,332654.2,333482.7,336477.9,327350.2,304461.5,326948.5,331122.3,330171.3,334118.1,333961.9,339804.7,338975.5,338789.6,340645.1,340581.3,340370.3,341579.6,346067.0,350266.1,349300.9,352941.1
56000,Wyoming,37762.0,37970.0,38021.8,38155.0,38056.4,38225.4,39043.6,38983.1,38271.3,34780.9,36021.2,35719.4,36888.1,37083.3,37107.3,37448.5,38314.3,37093.0,37468.6,38433.1,39139.8,40079.2,40799.4,40824.8,40070.0,40414.4

Legend/Footnotes
"1. Real GDP is in millions of chained 2017 dollars. Calculations are performed on unrounded data. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. For the All industry total and Government and government enterprises, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"  Last updated: September 27, 2024-- new statistics for 2024:Q2; revised statistics for 2019:Q1-2024:Q1."
